VideoFileName,Arousal,Dominance,Submission,Closeness,Novelty,Category,Interactions,Valence,Social
00511DVD.mpg,1.00,0.00,0.00,0.00,2.20,2.00,0.00,0.00,0.00
00812DVD.mpg,0.00,0.00,0.00,0.20,0.60,2.00,0.20,0.00,0.00
01009DVD.mpg,0.40,0.00,0.00,2.20,2.80,2.00,0.80,0.00,0.00
01484DVD.mpg,0.00,0.00,0.00,2.00,-1.80,2.00,0.20,0.00,0.00
01504DVD.mpg,0.00,0.00,0.00,1.60,2.40,2.00,0.60,0.00,0.00
00192DVD.mpg,0.40,0.00,0.00,0.00,2.40,3.00,0.20,0.00,0.00
00332DVD.mpg,-0.40,0.00,0.00,1.00,1.20,3.00,0.40,0.00,0.00
00908DVD.mpg,0.40,0.00,0.00,2.00,2.40,3.00,0.20,0.00,0.00
00931DVD.mpg,0.60,0.00,0.00,2.00,2.40,3.00,0.80,0.00,0.00
01479DVD.mpg,-0.40,0.00,0.00,0.00,-1.00,3.00,0.00,0.00,0.00
00597DVD.mpg,-0.20,0.00,0.00,1.80,3.00,4.00,0.60,0.00,0.00
00763DVD.mpg,0.40,0.00,0.00,1.00,3.00,4.00,0.80,0.00,0.00
00829DVD.mpg,0.40,0.00,0.00,1.60,2.80,4.00,0.40,0.00,0.00
00839DVD.mpg,0.00,0.00,0.00,0.00,0.60,5.00,0.00,0.00,0.00
01181DVD.mpg,0.00,0.00,0.00,0.00,-1.40,5.00,0.00,0.00,0.00
01241DVD.mpg,0.00,0.00,0.00,-0.20,-0.40,5.00,0.00,0.00,0.00
00202DVD.mpg,0.00,0.00,0.00,0.00,0.80,1.00,0.00,0.00,0.00
00301DVD.mpg,-0.20,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00396DVD.mpg,-0.20,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00502DVD.mpg,0.00,0.00,0.00,0.00,0.40,1.00,0.00,0.00,0.00
00537DVD.mpg,0.20,0.00,0.00,0.00,0.40,1.00,0.00,0.00,0.00
00685DVD.mpg,0.00,0.00,0.00,0.00,0.40,1.00,0.00,0.00,0.00
00798DVD.mpg,-0.20,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00894DVD.mpg,0.00,0.00,0.00,0.00,-0.20,1.00,0.00,0.00,0.00
00940DVD.mpg,0.00,0.00,0.00,0.00,0.80,1.00,0.00,0.00,0.00
01476DVD.mpg,0.40,0.00,0.00,0.00,2.40,1.00,0.00,0.00,0.00
01489DVD.mpg,-0.20,0.00,0.00,0.00,-3.00,1.00,0.00,0.00,0.00
00422DVD.mpg,0.20,0.00,0.00,1.00,1.60,2.00,0.00,0.00,0.00
00627DVD.mpg,-0.20,0.00,0.00,2.20,1.80,2.00,0.20,0.00,0.00
00813DVD.mpg,-0.20,0.00,0.00,0.80,0.00,2.00,0.20,0.00,0.00
01037DVD.mpg,0.40,0.00,0.00,1.80,-0.20,2.00,0.40,0.00,0.00
01494DVD.mpg,0.00,0.00,0.00,1.00,-2.80,2.00,0.20,0.00,0.00
01505DVD.mpg,0.20,0.00,0.00,0.00,-0.60,2.00,0.00,0.00,0.00
00238DVD.mpg,0.40,0.00,0.00,1.60,2.60,3.00,0.80,0.00,0.00
00364DVD.mpg,0.40,0.00,0.00,0.80,2.00,3.00,0.00,0.00,0.00
00909DVD.mpg,0.20,0.00,0.00,1.80,2.60,3.00,0.00,0.00,0.00
00939DVD.mpg,0.00,0.00,0.00,0.00,1.60,3.00,0.00,0.00,0.00
01480DVD.mpg,-0.20,0.20,0.00,0.00,-1.00,3.00,0.00,0.00,0.00
00619DVD.mpg,0.60,0.00,0.00,1.80,3.00,4.00,0.20,0.00,0.00
00808DVD.mpg,0.60,0.00,0.00,1.40,3.00,4.00,0.20,0.00,0.00
00830DVD.mpg,0.20,0.00,0.00,0.80,2.80,4.00,0.00,0.00,0.00
00982DVD.mpg,0.60,0.00,0.00,2.40,-0.40,5.00,0.60,0.00,0.00
01205DVD.mpg,0.20,0.00,0.00,0.00,-0.20,5.00,0.00,0.00,0.00
01327DVD.mpg,0.00,0.00,0.00,0.00,-0.60,5.00,0.00,0.00,0.00
00204DVD.mpg,-0.20,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00303DVD.mpg,0.00,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00405DVD.mpg,0.60,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00516DVD.mpg,-0.20,0.00,0.00,0.00,0.40,1.00,0.00,0.00,0.00
00552DVD.mpg,0.40,0.00,0.00,0.60,1.80,1.00,0.00,0.00,0.00
00686DVD.mpg,0.00,0.00,0.00,0.00,-1.40,1.00,0.00,0.00,0.00
00840DVD.mpg,0.00,0.00,0.00,0.00,1.20,1.00,0.00,0.00,0.00
00916DVD.mpg,0.00,0.00,0.00,0.00,1.40,1.00,0.00,0.00,0.00
00976DVD.mpg,0.00,0.00,0.00,0.00,-0.40,1.00,0.00,0.00,0.00
01477DVD.mpg,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
01491DVD.mpg,0.20,0.00,0.00,0.00,-2.80,1.00,0.00,0.00,0.00
00424DVD.mpg,0.80,0.00,0.00,2.20,1.80,2.00,0.00,0.00,0.00
00628DVD.mpg,-0.40,0.00,0.00,0.60,1.40,2.00,0.00,0.00,0.00
00814DVD.mpg,0.40,0.00,0.00,2.20,0.20,2.00,1.20,0.00,0.00
01474DVD.mpg,0.00,0.00,0.00,1.00,-1.60,2.00,0.00,0.00,0.00
01498DVD.mpg,0.20,0.00,0.00,2.40,-0.60,2.00,0.20,0.00,0.00
01506DVD.mpg,0.40,0.00,0.00,0.00,-0.80,2.00,0.00,0.00,0.00
00291DVD.mpg,-0.20,0.00,0.00,0.00,1.80,3.00,0.00,0.00,0.00
00475DVD.mpg,1.20,0.00,0.00,2.00,2.40,3.00,0.60,0.00,0.00
00913DVD.mpg,0.80,0.40,0.20,0.60,2.00,3.00,0.20,0.00,0.00
00948DVD.mpg,0.20,0.00,0.00,0.00,1.20,3.00,0.00,0.00,0.00
01502DVD.mpg,-0.20,0.00,0.00,0.40,2.60,3.00,0.00,0.00,0.00
00623DVD.mpg,0.80,0.00,0.00,1.40,2.80,4.00,0.20,0.00,0.00
00809DVD.mpg,0.80,0.00,0.00,2.60,3.00,4.00,0.60,0.00,0.00
01001DVD.mpg,0.40,0.00,0.00,2.00,2.80,4.00,0.60,0.00,0.00
01082DVD.mpg,0.00,0.00,0.00,0.00,0.60,5.00,0.00,0.00,0.00
01215DVD.mpg,0.40,0.60,0.40,2.80,-0.20,5.00,1.20,0.00,0.00
01328DVD.mpg,0.00,0.00,0.00,0.00,-1.00,5.00,0.00,0.00,0.00
00233DVD.mpg,0.60,0.00,0.00,0.00,1.80,1.00,0.00,0.00,0.00
00318DVD.mpg,-0.20,0.00,0.00,0.00,1.80,1.00,0.00,0.00,0.00
00406DVD.mpg,-0.20,0.00,0.00,0.00,1.40,1.00,0.00,0.00,0.00
00519DVD.mpg,0.20,0.00,0.00,0.00,1.20,1.00,0.00,0.00,0.00
00600DVD.mpg,-0.60,0.00,0.00,0.00,2.20,1.00,0.00,0.00,0.00
00696DVD.mpg,0.00,0.00,0.00,0.20,-1.20,1.00,0.00,0.00,0.00
00843DVD.mpg,0.00,0.00,0.00,0.00,0.60,1.00,0.00,0.00,0.00
00921DVD.mpg,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
00980DVD.mpg,0.00,0.00,0.00,0.00,-1.60,1.00,0.00,0.00,0.00
01482DVD.mpg,-0.20,0.00,0.00,0.00,-2.60,1.00,0.00,0.00,0.00
01492DVD.mpg,0.00,0.00,0.00,0.00,-1.20,1.00,0.00,0.00,0.00
00442DVD.mpg,0.00,0.00,0.00,1.00,1.80,2.00,0.00,0.00,0.00
00661DVD.mpg,1.00,0.00,0.00,2.80,2.40,2.00,1.60,0.00,0.00
00991DVD.mpg,0.60,0.00,0.00,2.00,2.80,2.00,0.40,0.00,0.00
01475DVD.mpg,0.00,0.00,0.00,-0.60,-2.00,2.00,0.00,0.00,0.00
01499DVD.mpg,0.00,0.00,0.00,1.60,-0.60,2.00,0.20,0.00,0.00
01507DVD.mpg,0.40,0.00,0.00,1.40,-1.20,2.00,0.40,0.00,0.00
00293DVD.mpg,0.40,0.00,0.00,0.80,2.40,3.00,0.80,0.00,0.00
00501DVD.mpg,-0.20,0.00,0.00,0.40,0.80,3.00,0.00,0.00,0.00
00926DVD.mpg,0.40,0.00,0.00,1.20,2.00,3.00,0.40,0.00,0.00
00965DVD.mpg,0.60,0.00,0.00,0.60,3.00,3.00,0.00,0.00,0.00
00225DVD.mpg,1.20,0.00,0.00,1.60,3.00,4.00,0.60,0.00,0.00
00632DVD.mpg,0.80,0.00,0.00,1.60,2.60,4.00,0.00,0.00,0.00
00827DVD.mpg,0.40,0.00,0.00,0.20,2.80,4.00,0.00,0.00,0.00
00391DVD.mpg,0.00,0.00,0.00,0.00,1.40,5.00,0.00,0.00,0.00
01160DVD.mpg,0.20,0.00,0.00,0.00,0.40,5.00,0.00,0.00,0.00
01235DVD.mpg,0.00,0.00,0.00,0.00,2.00,5.00,0.00,0.00,0.00
00181DVD.mpg,-0.60,0.00,0.00,0.00,2.20,1.00,0.00,0.00,0.00
00265DVD.mpg,-0.20,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00319DVD.mpg,0.00,0.00,0.00,0.00,1.80,1.00,0.00,0.00,0.00
00441DVD.mpg,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
00535DVD.mpg,-0.20,0.00,0.00,0.00,0.40,1.00,0.00,0.00,0.00
00603DVD.mpg,0.00,0.00,0.00,0.60,2.80,1.00,0.00,0.00,0.00
00729DVD.mpg,0.20,0.00,0.00,0.00,-0.80,1.00,0.00,0.00,0.00
00865DVD.mpg,0.00,0.00,0.00,0.00,1.20,1.00,0.00,0.00,0.00
00922DVD.mpg,-0.20,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
01004DVD.mpg,0.00,0.00,0.00,0.00,1.80,1.00,0.00,0.00,0.00
01483DVD.mpg,0.20,0.00,0.00,0.00,1.20,1.00,0.00,0.00,0.00
01495DVD.mpg,0.40,0.00,0.00,0.00,-0.60,1.00,0.00,0.00,0.00
00444DVD.mpg,0.00,0.00,0.00,2.00,0.00,2.00,0.20,0.00,0.00
00669DVD.mpg,0.40,0.00,0.00,2.40,1.00,2.00,0.20,0.00,0.00
01005DVD.mpg,0.20,0.00,0.00,1.20,2.80,2.00,0.20,0.00,0.00
01481DVD.mpg,-0.20,0.00,0.00,0.00,-2.60,2.00,0.00,0.00,0.00
01503DVD.mpg,0.00,0.00,0.00,1.80,-0.40,2.00,0.20,0.00,0.00
00191DVD.mpg,1.00,0.00,0.00,2.40,2.40,3.00,1.00,0.00,0.00
00295DVD.mpg,0.00,0.00,0.00,0.00,2.00,3.00,0.00,0.00,0.00
00907DVD.mpg,0.00,0.00,0.00,0.00,1.60,3.00,0.00,0.00,0.00
00929DVD.mpg,0.20,0.00,0.00,1.40,2.40,3.00,0.20,0.00,0.00
00966DVD.mpg,0.20,0.00,0.00,1.00,2.80,3.00,0.40,0.00,0.00
00594DVD.mpg,0.00,0.00,0.00,1.80,3.00,4.00,0.20,0.00,0.00
00750DVD.mpg,0.40,0.00,0.00,1.80,3.00,4.00,0.40,0.00,0.00
00828DVD.mpg,0.40,0.00,0.00,1.40,2.80,4.00,0.40,0.00,0.00
00564DVD.mpg,0.00,0.00,0.00,0.00,1.00,5.00,0.00,0.00,0.00
01173DVD.mpg,0.20,0.20,0.20,2.00,-0.40,5.00,1.20,0.00,0.00
01236DVD.mpg,0.00,0.00,0.00,0.00,1.80,5.00,0.00,0.00,0.00
00407DVD.mpg,-0.60,0.00,0.00,0.20,1.20,1.00,0.00,0.20,0.00
00525DVD.mpg,0.00,0.00,0.00,0.00,0.40,1.00,0.00,0.20,0.00
00842DVD.mpg,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.20,0.00
01490DVD.mpg,-0.20,0.00,0.00,0.00,-3.00,1.00,0.00,0.20,0.00
00337DVD.mpg,0.40,0.00,0.00,1.60,-0.40,2.00,0.40,0.20,0.00
00322DVD.mpg,0.60,0.00,0.00,0.20,2.20,3.00,0.20,0.20,0.00
01473DVD.mpg,1.00,0.20,0.00,0.00,-1.20,3.00,0.00,0.20,0.00
00605DVD.mpg,0.40,0.00,0.00,1.40,3.00,4.00,0.60,0.20,0.00
00467DVD.mpg,0.20,0.00,0.00,0.00,-1.40,1.00,0.00,0.20,0.00
00570DVD.mpg,0.00,0.00,0.00,0.00,0.20,1.00,0.00,0.20,0.00
00946DVD.mpg,0.00,0.00,0.00,0.00,0.80,1.00,0.00,0.20,0.00
00333DVD.mpg,0.00,0.00,0.00,1.20,0.40,2.00,0.20,0.20,0.00
00861DVD.mpg,-0.20,0.00,0.00,0.20,0.20,2.00,0.00,0.20,0.00
00331DVD.mpg,0.00,0.00,0.00,1.60,2.20,3.00,0.80,0.20,0.00
01496DVD.mpg,1.00,0.00,0.00,0.00,-0.40,3.00,0.00,0.20,0.00
00869DVD.mpg,-0.20,0.00,0.00,0.00,2.60,4.00,0.20,0.20,0.00
00482DVD.mpg,0.00,0.00,0.00,0.00,-1.60,1.00,0.00,0.20,0.00
00703DVD.mpg,0.00,0.00,0.00,0.00,-1.20,1.00,0.00,0.20,0.00
01485DVD.mpg,0.00,0.00,0.00,0.00,-1.40,1.00,0.00,0.20,0.00
00334DVD.mpg,0.40,0.00,0.00,1.80,0.60,2.00,0.20,0.20,0.00
01056DVD.mpg,0.80,0.00,0.00,2.60,2.80,2.00,0.60,0.20,0.00
00485DVD.mpg,0.60,0.00,0.00,1.80,2.40,3.00,0.60,0.20,0.00
00408DVD.mpg,0.20,0.00,0.00,0.80,2.60,4.00,0.40,0.20,0.00
00885DVD.mpg,0.20,0.00,0.00,0.60,2.60,4.00,0.00,0.20,0.00
00205DVD.mpg,-0.40,0.00,0.00,0.00,0.00,1.00,0.00,0.20,0.00
00509DVD.mpg,-0.20,0.00,0.00,0.00,1.00,1.00,0.00,0.20,0.00
00730DVD.mpg,0.00,0.00,0.00,0.00,-1.00,1.00,0.00,0.20,0.00
01486DVD.mpg,-0.20,0.00,0.00,0.00,-3.00,1.00,0.00,0.20,0.00
00335DVD.mpg,0.20,0.00,0.00,1.80,0.60,2.00,0.20,0.20,0.00
01497DVD.mpg,0.40,0.00,0.00,2.20,2.40,2.00,0.60,0.20,0.00
00572DVD.mpg,0.00,0.00,0.00,1.60,2.20,3.00,0.20,0.20,0.00
00596DVD.mpg,0.20,0.00,0.00,2.40,3.00,4.00,1.20,0.20,0.00
00211DVD.mpg,-0.20,0.00,0.00,0.00,-0.40,1.00,0.00,0.20,0.00
00524DVD.mpg,-0.20,0.00,0.00,0.00,0.60,1.00,0.00,0.20,0.00
00731DVD.mpg,-0.20,0.00,0.00,0.00,-1.60,1.00,0.00,0.20,0.00
01488DVD.mpg,-0.20,0.00,0.00,0.00,-3.00,1.00,0.00,0.20,0.00
00336DVD.mpg,0.60,0.00,0.00,1.60,1.00,2.00,0.20,0.20,0.00
00287DVD.mpg,0.60,0.00,0.00,2.60,2.40,3.00,1.00,0.20,0.00
00578DVD.mpg,0.40,0.00,0.00,1.00,2.60,3.00,0.40,0.20,0.00
00602DVD.mpg,0.20,0.00,0.00,1.20,2.80,4.00,0.20,0.20,0.00
